from_facility,to_facility,cost_per_unit,lead_time_days,transport_mode
VN_FAC_1,US_FAC_1,21.56206568686622,22.451582287786977,Ocean
VN_FAC_1,US_FAC_2,25.993021161394378,19.255492072024687,Ocean
VN_FAC_1,US_FAC_3,27.051391455705634,21.186203942135595,Ocean
US_FAC_1,VN_FAC_1,7.674324141222071,3.512101239310452,Truck
US_FAC_1,US_FAC_2,4.188099000038462,1.05743460399051,Truck
US_FAC_1,US_FAC_3,8.453718104770507,2.829092275457848,Truck
US_FAC_2,VN_FAC_1,7.897476987354852,3.5144649249659277,Truck
US_FAC_2,US_FAC_1,8.619676543771504,3.882760440786474,Truck
US_FAC_2,US_FAC_3,6.751545551964828,2.465486897979716,Truck
US_FAC_3,VN_FAC_1,5.8132103992351105,1.4610731285326137,Truck
US_FAC_3,US_FAC_1,7.008250630174157,1.8310375729779365,Truck
US_FAC_3,US_FAC_2,9.449152585490829,2.749572412831293,Truck
